Time Study Service Fee List 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Service,Service Description,Student Fee,Refferal Fee,Sales of Cost,Revenue,"TS
JP/KR/TH",KN,Description,TS,FHS,Ozihouse,AHN,,,,,,,,,,,,,,,,,
Homestay,Matching Fee,Homestay matching fee,$400,,$0,$400,$200,$200,,,,,,,,,,,,,,,,,,,,,,
Homestay,Over 18s – Private Room,"Traditional Homestay (2 meals Mon–Fri, 3 meals on weekends)",$410,,$390,$20,$10,$10,,,,,,,,,,,,,,,,,,,,,,
Homestay,Over 18s – Private Room,"Complete Homestay (3 meals, 7 days per week)",$440,,$360,$80,$40,$40,,,,,,,,,,,,,,,,,,,,,,
Homestay,Over 18s – Private Room,Dinner Only,$380,,$330,$50,$25,$25,,,,,,,,,,,,,,,,,,,,,,
Homestay,Over 18s – Private Room,No Meals,$340,,$290,$50,$25,$25,,,,,,,,,,,,,,,,,,,,,,
Homestay,Over 18s – Shared Room,"Traditional Homestay (2 meals Mon–Fri, 3 meals on weekends)",$380,,$360,$20,$10,$10,,,,,,,,,,,,,,,,,,,,,,
Homestay,Over 18s – Shared Room,"Complete Homestay (3 meals, 7 days per week)",$410,,$330,$80,$40,$40,,,,,,,,,,,,,,,,,,,,,,
Homestay,Over 18s – Shared Room,Dinner Only,$350,,$300,$50,$25,$25,,,,,,,,,,,,,,,,,,,,,,
Homestay,Over 18s – Shared Room,No Meals,$310,,$260,$50,$25,$25,,,,,,,,,,,,,,,,,,,,,,
Homestay,Under 18s – Private Room,"Traditional Homestay (2 meals Mon–Fri, 3 meals on weekends)",$430,,$410,$20,$10,$10,,,,,,,,,,,,,,,,,,,,,,
Homestay,Under 18s – Private Room,"Complete Homestay (3 meals, 7 days per week)",$460,,$380,$80,$40,$40,,,,,,,,,,,,,,,,,,,,,,
Homestay,Under 18s – Shared Room,"Traditional Homestay (2 meals Mon–Fri, 3 meals on weekends)",$400,,$380,$20,$10,$10,,,,,,,,,,,,,,,,,,,,,,
Homestay,Under 18s – Shared Room,"Complete Homestay (3 meals, 7 days per week)",$430,,$350,$80,$40,$40,,,,,,,,,,,,,,,,,,,,,,
Airport Pickup,City Basic,,$200,,$70,$130,$65,$65,,,,,,,,,,,,,,,,,,,,,,
